Date,Hour,MCP (Rs/MWh)
07-09-2023,24,10000
07-09-2023,24,10000
08-09-2023,1,8198.25
08-09-2023,1,8253.51
08-09-2023,1,7367.59
08-09-2023,1,7000.99
08-09-2023,2,6891.41
08-09-2023,2,6871.48
08-09-2023,2,6787.25
08-09-2023,2,6250.41
08-09-2023,3,5499.03
08-09-2023,3,5000.39
08-09-2023,3,5000.76
08-09-2023,3,5499.07
08-09-2023,4,4970.56
08-09-2023,4,4788.71
08-09-2023,4,4788.17
08-09-2023,4,4772.78
08-09-2023,5,4000.69
08-09-2023,5,4500.26
08-09-2023,5,4788.17
08-09-2023,5,4568.93
08-09-2023,6,4806.39
08-09-2023,6,5299.24
08-09-2023,6,5723.8
08-09-2023,6,6000.71
08-09-2023,7,6128.3
08-09-2023,7,6271.55
08-09-2023,7,6500.4
08-09-2023,7,6250.22
08-09-2023,8,5400.11
08-09-2023,8,5148.39
08-09-2023,8,4700.58
08-09-2023,8,4000.8
08-09-2023,9,3128.91
08-09-2023,9,2999.78
08-09-2023,9,2999.35
08-09-2023,9,2920.95
08-09-2023,10,2999.98
08-09-2023,10,3450.92
08-09-2023,10,3592.9
08-09-2023,10,3500.39
08-09-2023,11,3000.93
08-09-2023,11,2999.97
08-09-2023,11,2999.71
08-09-2023,11,2999.41
08-09-2023,12,3140.76
08-09-2023,12,3284.23
08-09-2023,12,3400.5
08-09-2023,12,3500.28
08-09-2023,13,3399.59
08-09-2023,13,3500.02
08-09-2023,13,3500.27
08-09-2023,13,3500.27
08-09-2023,14,3200.26
08-09-2023,14,3300.22
08-09-2023,14,3629.41
08-09-2023,14,3731.41
08-09-2023,15,3731.38
08-09-2023,15,4208.9
08-09-2023,15,4637.92
08-09-2023,15,5299.47
08-09-2023,16,4945.21
08-09-2023,16,5600.01
08-09-2023,16,5499.47
08-09-2023,16,5600.34
08-09-2023,17,4238.52
08-09-2023,17,4428.55
08-09-2023,17,4500.72
08-09-2023,17,4600.82
08-09-2023,18,5280.25
08-09-2023,18,5612.65
08-09-2023,18,5499.89
08-09-2023,18,5600.59
08-09-2023,19,6304.96
08-09-2023,19,7479.11
08-09-2023,19,9999.52
08-09-2023,19,10000
08-09-2023,20,10000
08-09-2023,20,10000
08-09-2023,20,10000
08-09-2023,20,10000
08-09-2023,21,10000
08-09-2023,21,10000
08-09-2023,21,10000
08-09-2023,21,10000
08-09-2023,22,10000
08-09-2023,22,10000
08-09-2023,22,10000
08-09-2023,22,10000
08-09-2023,23,10000
08-09-2023,23,10000
08-09-2023,23,10000
08-09-2023,23,10000
08-09-2023,24,10000
08-09-2023,24,10000
08-09-2023,24,10000
08-09-2023,24,10000
09-09-2023,1,9999.93
09-09-2023,1,9998.09
09-09-2023,1,7576.18
09-09-2023,1,7499.8
09-09-2023,2,7000.65
09-09-2023,2,7000.25
09-09-2023,2,6499.21
09-09-2023,2,6009.34
09-09-2023,3,5372.93
09-09-2023,3,4915.32
09-09-2023,3,4802.33
09-09-2023,3,4600.26
09-09-2023,4,4788.39
09-09-2023,4,4542.26
09-09-2023,4,4000.71
09-09-2023,4,3857.96
09-09-2023,5,3857.79
09-09-2023,5,4000.23
09-09-2023,5,4000.99
09-09-2023,5,4000.95
09-09-2023,6,4900.98
09-09-2023,6,4968.85
09-09-2023,6,5689.86
09-09-2023,6,5839.73
09-09-2023,7,5800.01
09-09-2023,7,6000.54
09-09-2023,7,6057.36
09-09-2023,7,6250.33
09-09-2023,8,5800.54
09-09-2023,8,5600.72
09-09-2023,8,5499.41
09-09-2023,8,4300.93
09-09-2023,9,3950.16
09-09-2023,9,4060.36
09-09-2023,9,3857.84
09-09-2023,9,3857.16
09-09-2023,10,3499.38
09-09-2023,10,3530.3
09-09-2023,10,3450.92
09-09-2023,10,3350.91
09-09-2023,11,3117.46
09-09-2023,11,3026.98
09-09-2023,11,3000.7
09-09-2023,11,2805.97
09-09-2023,12,3026.3
09-09-2023,12,3100.83
09-09-2023,12,3117.95
09-09-2023,12,3117.36
09-09-2023,13,3128.43
09-09-2023,13,3250.2
09-09-2023,13,3300.6
09-09-2023,13,3399.11
09-09-2023,14,3250.3
09-09-2023,14,3250.97
09-09-2023,14,3499.28
09-09-2023,14,3501.72
09-09-2023,15,3857
09-09-2023,15,4046.65
09-09-2023,15,4300.03
09-09-2023,15,4728.56
09-09-2023,16,4788.18
09-09-2023,16,4769.5
09-09-2023,16,4915.52
09-09-2023,16,5018.6
09-09-2023,17,4772.42
09-09-2023,17,5359.3
09-09-2023,17,5685.16
09-09-2023,17,5000.84
09-09-2023,18,4772.2
09-09-2023,18,4772.36
09-09-2023,18,4800.13
09-09-2023,18,5359.86
09-09-2023,19,5759.89
09-09-2023,19,6009.91
09-09-2023,19,6500.58
09-09-2023,19,7000.3
09-09-2023,20,10000
09-09-2023,20,10000
09-09-2023,20,10000
